"Datenbank","Titel (100000)","Titel (100000.1)","Verfasser (100001)","Verfasser (100001.1)","Jahr (100002)","Jahr (100002.1)","Regalstandort (100005)","Regalstandort (100005.1)",100011,100011.1,100012,100012.1
"Stadtbibliothek Chemnitz","Sprachmemo Deutsch/Sprachmemo Deutsch: Natur und Tiere Sprachspiel",,,,"2017",,,,,,,
"Stadtbibliothek Chemnitz","Sprachmemo Deutsch/Sprachmemo Deutsch: Farben/Formen/Strukturen Sprachspiel",,,,"2017",,,,,,,
"Stadtbibliothek Chemnitz","Sprachmemo Deutsch/Sprachmemo Deutsch: Werkzeuge und Haushalt Sprachspiel",,,,"2017",,,,,,,
"Stadtbibliothek Chemnitz","Sprachmemo Deutsch/Sprachmemo Deutsch: Zählen/Messen/Wiegen Sprachspiel",,,,"2017",,,,,,,
"Stadtbibliothek Chemnitz","Star Wars - Allianz der Rebellen",,,"Knizia, Reiner","[2016] © 2016",,"Rot Spiele StarW",,,,,
"Stadtbibliothek Chemnitz","Das@ verdrehte Labyrinth Wer hat im Zaubergarten den Dreh raus?",,,"Feldkötter, Michael","[2016] © 2016",,"Rot Spiele Verdr",,,,,
"Stadtbibliothek Chemnitz","Gespensterjagd",,,"Brand, Inka","[2016] © 2016",,"Rot Spiele Gespen",,,,,
"Stadtbibliothek Chemnitz","Burg Flatterstein",,,"Hoffmann, Guido","[2016]",,"Rot Spiele Burg",,,,,
"Stadtbibliothek Chemnitz","Komm, wir kaufen ein! Was ist wo im Supermarkt?",,,"Brand, Inka","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Animals on board",,,"Zur Linde, Ralf","[2016] © 2016",,"Rot Spiele Animals",,,,,
"Stadtbibliothek Chemnitz","Bauboom",,,"Fritsche, Arpad","[2016]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Alles im Eimer das colle Sabotierspiel",,,"Dorra, Stefan","[2016] © 2016",,"Rot Spiele Alles",,,,,
"Stadtbibliothek Chemnitz","Wir spielen Schule erlebe den Schulalltag und lerne die Fächer kennen",,,"Teubner, Marco","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Jan & Henry das Memo-Spiel",,,"Reinl, Martin","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Deutschlernen mit Bildern: Zu Hause 60 Fotokarten auf Deutsch, Englisch, Französisch und Arabisch",,,,"[2016]",,"I 148.3 Deu",,,,,
"Stadtbibliothek Chemnitz","Deutschlernen mit Bildern: Im Kindergarten 60 Bildkarten auf Deutsch, Englisch, Französisch, Arabisch und Türkisch",,,,"[2016]",,"I 148.3 Deu",,,,,
"Stadtbibliothek Chemnitz","Deutschlernen mit Bildern: Lebensmittel 60 Fotokarten auf Deutsch, Englisch, Französisch und Arabisch",,,,"[2016]",,"I 148.3 Deu",,,,,
"Stadtbibliothek Chemnitz","Legends",,,"Fiore, Christian","[2016] © 2016",,"Blau Spiele Legends",,,,,
"Stadtbibliothek Chemnitz","Memory das Brettspiel - Die Entdecker",,,"Kramer, Wolfgang","[2016] © 2016",,"Rot Spiele Memory",,,,,
"Stadtbibliothek Chemnitz","Langenscheidt Memo-Spiel ""Wie heißt das?"" spielerisch Deutsch lernen",,,"Merle, Katrin","[2016] © 2016",,"I 148.3 Lan",,,,,
"Stadtbibliothek Chemnitz","Deutschlernen mit Bildern: Kleidung und Körper 60 Fotokarten auf Deutsch, Englisch, Französisch und Arabisch",,,,"[2016]",,"I 148.3 Deu",,,,,
"Stadtbibliothek Chemnitz","Risiko - Game of Thrones Gefecht-Edition das grosse Strategiespiel",,,,"©[2016] © 2016",,"Games Risiko",,,,,
"Stadtbibliothek Chemnitz","Die Welt Wetten, da liegt Manhattan!",,,"Burkhardt, Günter","2016",,"Blau Spiele Welt",,,,,
"Stadtbibliothek Chemnitz","Bibi & Tina Mädchen gegen Jungs, das Spiel zum Film",,,"Fiore, Christian","[2016] © 2016",,"Rot Spiele Bibi",,,,,
"Stadtbibliothek Chemnitz","T.I.M.E Stories",,,"Rozoy, Manuel","[2016] © 2016",,"Games T.I.M.E",,,,,
"Stadtbibliothek Chemnitz","Hinterher ist man immer schlauer das Fragespiel, das Du auch gewinnen kannst, ohne alles zu wissen!",,,,"[2016]",,"G 212 Hin",,,,,
"Stadtbibliothek Chemnitz","Brain Master classic crafted wooden set",,,,"[2016]",,"G 212 Bra",,,,,
"Stadtbibliothek Chemnitz","Black stories - Scary Music Edition Rhytmen, Rebellen, Rock'n' Roll und 50 rabenschwarze Rätsel",,,"Webel, Matthias Leo","[2016] © 2016",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Fußball das lustige Wissenspiel",,,"Haferkamp, Kai","[2016] [2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Crossing",,,"Shinohara, Yoshiteru","[2016]",,"Rot Spiele Cross",,,,,
"Stadtbibliothek Chemnitz","Krazy Wordz das ultra-witzige WortErfindeUndErrate-Spiel",,,"Baumann, Dirk","[2016] © 2016",,"Blau Spiele Krazy",,,,,
"Stadtbibliothek Chemnitz","Imhotep Baumeister Ägyptens",,,"Walker-Harding, Phil","[2016] © 2016",,"Games Imhotep",,,,,
"Stadtbibliothek Chemnitz","Interpol ermittelt Spanisch lernen für Krimi-Fans : El arte de hacer las preguntas correctas.",,,,"[2016]",,"350 I 357 Int",,,,,
"Stadtbibliothek Chemnitz","Interpol ermittelt Italienisch lernen für Krimi-Fans : L'arte di fare le domande giuste.",,,,"[2016]",,"320 I 327 Int",,,,,
"Stadtbibliothek Chemnitz","Interpol ermittelt Französisch lernen für Krimi-Fans : L'art de poser les bonnes questions.",,,,"[2016]",,"310 I 317 Int",,,,,
"Stadtbibliothek Chemnitz","Hanni Honigbiene",,,"Rogasch, Tim","[2016]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Keksäää! Wer zuerst mampft...",,,"Fraga, Roberto","[2016] [2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Black stories - 13 50 rabenschwarze Rätsel",,,"Bösch, Holger","[2016] © 2016",,"Kriminalfälle Black",,,,,
"Stadtbibliothek Chemnitz","Neon unnützes Quizzen Mord & Totschlag",,,"Schwamm, Sebastian","[2016] © 2016",,"Kriminalfälle Neon",,,,,
"Stadtbibliothek Chemnitz","Neon unnützes Quizzen Alkohol & Drogen",,,"Schwamm, Sebastian","[2016] © 2016",,"A 090 Neo",,,,,
"Stadtbibliothek Chemnitz","Sprachmemo - Schule, Arbeit, Freizeit Basiswortschatz Deutsch spielerisch lernen : Niveau A1",,,,"[2016]",,"G 212 Spr",,,,,
"Stadtbibliothek Chemnitz","Sprachmemo - Einkaufen, Essen, Trinken Basiswortschatz Deutsch spielerisch lernen : Niveau A1",,,,"[2016]",,"G 212 Spr",,,,,
"Stadtbibliothek Chemnitz","Sprachmemo - Der Mensch Basiswortschatz Deutsch spielerisch lernen : Niveau A1",,,,"[2016]",,"G 212 Spr",,,,,
"Stadtbibliothek Chemnitz","Sprachmemo - Durch das Jahr Basiswortschatz Deutsch spielerisch lernen : Niveau A1",,,,"[2016]",,"G 212 Spr",,,,,
"Stadtbibliothek Chemnitz","Sprachmemo - Unterwegs Basiswortschatz Deutsch spielerisch lernen : Niveau A1",,,,"[2016]",,"G 212 Spr",,,,,
"Stadtbibliothek Chemnitz","Sprachmemo - Zu Hause Basiswortschatz Deutsch spielerisch lernen : Niveau A1",,,,"[2016]",,"G 212 Spr",,,,,
"Stadtbibliothek Chemnitz","Das Sachsen-Quiz",,,"Kohl, Peter","2016",,"Ter G 20.0 Sachsen Koh",,,,,
"Stadtbibliothek Chemnitz","Lotto",,,,"[2016]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Die kleine Raupe Nimmersatt Erster Spielspaß",,,"Carle, Eric","[2016] © 2016",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Wortschätzchen ein Spiel rund um alte Wörter zum Erinnern und Erzählen für Senioren",,,"Schumann, Gabriele","[2016] © 2016",,"G 212 Schum Erlebnis-Box",,,,,
"Stadtbibliothek Chemnitz","Deutschlernen mit Bildern: In der Stadt 60 Fotokarten auf Deutsch, Englisch, Französisch und Arabisch",,,,"[2016]",,"I 148.3 Deu",,,,,
"Stadtbibliothek Chemnitz","Shelby's Knochen mopsen",,,"Gresko, Marcia","[2016]",,"Sport Spiele",,,,,
"Stadtbibliothek Chemnitz","Monopoly Vogtland das berühmte Spiel um den großen Deal",,,,"[2016] © 2016",,"Ter G 20.0 Vogtland Mon",,,,,
"Stadtbibliothek Chemnitz","Gigi Gnomo",,,"Teubner, Marco","[2016] © 2016",,"Rot Spiele Gigi",,,,,
"Stadtbibliothek Chemnitz","Halli Galli extrem Das wilde Spiel mit der Glocke!",,,"Shafir, Haim","[2016]",,"Rot Spiele Halli",,,,,
"Stadtbibliothek Chemnitz","Wer kennt Chemnitz das Stadtquiz : 280 Fragen Chemnitz pur : Kultur, Geschichte, Zeitgeschehen, Sport, Persönlichkeiten",,,"Linke, Grit","[2016] © 2016",,"Ter G 20.1 Chemnitz Lin",,,,,
