"Datenbank","Identifier (0)","Klassifikation (50)","Klassifikation (50.1)","Klassifikation (50.3)","Klassifikation (50.4)","Verfasser (100)","Verfasser (100.1)","Verfasser (100.2)","Verfasser (100.3)","Sonstige Personen (101)","Sonstige Personen (101.1)","Sonstige Personen (101.2)","Sonstige Personen (101.3)","Institution (110)","Institution (110.1)","Institution (110.2)","Institution (110.3)","Sonstige Institutionen (112.1)","Titel (200)","Titel (200.1)","Titel (200.2)","Verfasserangabe (245)","Verfasserangabe (245.1)","Ausgabe (250)","Ausgabe (250.1)","Ausgabe (250.2)","Ausgabe (250.3)","Ort (260)","Ort (260.1)","Ort (260.2)","Ort (260.3)","Verlag (270)","Verlag (270.1)","Verlag (270.2)","Verlag (270.3)","Erscheinungsjahr (280)","Erscheinungsjahr (280.1)","Erscheinungsjahr (280.2)","Umfang (300)","Umfang (300.1)","Serie/ Reihe (400)","Serie/ Reihe (400.1)","Serie/ Reihe (400.2)","Serie/ Reihe (400.3)","Fußnote (500)","Fußnote (500.1)","ISBN (490)","ISBN (490.1)","ISBN (490.2)","ISBN (490.3)","ISSN (491)","ISSN (491.1)","ISSN (491.2)","ISSN (491.3)",492,492.1,492.2,492.3,"Systematik (080)","Systematik (080.1)","Schlagwort (600)","Schlagwort (600.1)","Schlagwort (600.2)","Schlagwort (600.3)","Regalstandort (852)","Regalstandort (852.1)","Regalstandort (852.2)","Regalstandort (852.3)","In- Vermerk (770)","In- Vermerk (770.1)","URL (850)","URL (850.1)","Originalsprachl. Inhalt (880)","Originalsprachl. Inhalt (880.1)"
"Stadtbibliothek Chemnitz","738928",,,,,,,,,,,,,,,,,,,"Sprachmemo Deutsch/Sprachmemo Deutsch: Natur und Tiere",,,,"1. Auflage",,,,,"München",,,,"Hueber Verlag",,,,"2017",,,,,"Sprachmemo Deutsch",,,,,,"9783198695869","3198695864",,,,,,,,,,,,,,,,,,,,,,,,,
"Stadtbibliothek Chemnitz","738936",,,,,,,,,,,,,,,,,,,"Sprachmemo Deutsch/Sprachmemo Deutsch: Farben/Formen/Strukturen",,,,"1. Auflage",,,,,"München",,,,"Hueber Verlag",,,,"2017",,,,,"Sprachmemo Deutsch",,,,,,"9783198795866","3198795869",,,,,,,,,,,,,,,,,,,,,,,,,
"Stadtbibliothek Chemnitz","738938",,,,,,,,,,,,,,,,,,,"Sprachmemo Deutsch/Sprachmemo Deutsch: Werkzeuge und Haushalt",,,,"1. Auflage",,,,,"München",,,,"Hueber Verlag",,,,"2017",,,,,"Sprachmemo Deutsch",,,,,,"9783198995860","3198995868",,,,,,,,,,,,,,,,,,,,,,,,,
"Stadtbibliothek Chemnitz","738937",,,,,,,,,,,,,,,,,,,"Sprachmemo Deutsch/Sprachmemo Deutsch: Zählen/Messen/Wiegen",,,,"1. Auflage",,,,,"München",,,,"Hueber Verlag",,,,"2017",,,,,"Sprachmemo Deutsch",,,,,,"9783198895863","3198895863",,,,,,,,,,,,,,,,,,,,,,,,,
"Stadtbibliothek Chemnitz","702689","II G 21",,,,,"Knizia, Reiner","Windle, Paul",,,,,,,,,,,,"Star Wars - Allianz der Rebellen",,,,,,,,,"Ravensburg",,,,"Ravensburger",,,,"[2016]","© 2016","1 Spiel (44 quadratische Bildkarten, 9 Rebellen Figuren, 1 Kylo Ren Figur, 10 Aufsteller, 12 Planeten, 1 rundes Rebellen-Symbol, 1 Anleitung) ;",,,,,,,"Reaktionsspiel",,,,,,,,,,,,,,,,"Spiel",,,,"Rot Spiele StarW",,,,,,,,
"Stadtbibliothek Chemnitz","702683","II G 21",,,,,"Feldkötter, Michael","Krause, Joachim",,,,,,,,,,,,"Das@ verdrehte Labyrinth",,,,,,,,,"Ravensburg",,,,"Ravensburger",,,,"[2016]","© 2016","1 Spiel (1 Spielplan, 25 drehbare Hecken, 4 Spielfiguren, 4 Spielkarten, 24 Aufgabenkarten, 28 Magiekarten, 1 Anleitung) ;",,,,,,,"Laufspiel",,,,,,,,,,,,,,,,"Brettspiel",,,,"Rot Spiele Verdr",,,,,,,,
"Stadtbibliothek Chemnitz","702691","II G 21",,,,,"Brand, Inka","Brand, Markus","Saße, Jan",,,,,,,,,,,"Gespensterjagd",,,,,,,,,"Stuttgart",,,,"KOSMOS",,,,"[2016]","© 2016","1 Spiel (41 Grusel-Plättchen, 1 Gespenster-Stein, 3 Gespensterwürfel, 3 dreiteilige Verkleidungstafeln, 1 zweiteiliger Spielplan, 1 Anleitung) ;",,,"Die drei ??? Kids",,,,"Memospiel",,,,,,,,,,,,,,,,"!209678925!Brettspiel",,,,"Rot Spiele Gespen",,,,,,,,
"Stadtbibliothek Chemnitz","702681","II G 21",,,,,"Hoffmann, Guido","Vogt, Rolf",,,,,,,,,,,,"Burg Flatterstein",,,,,,,,,"Berlin",,,,"DRREI MAGIER",,,,"[2016]",,"1 Spiel (30 Fledermäuse aus Stoff, 28 Geisterkärtchen, 1 Fledermaus-Katapult, 1 Quälgeist-Figur, 4 Spielfiguren, 10 Treppenstufen, 1 Magischer Fledermaus-Pokal, 1 Burg, 1 Spielplan, 1 Anleitung) ;",,,,,,,"Geschicklichkeitsspiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Rot Spiele Burg",,,,,,,,
"Stadtbibliothek Chemnitz","700327","I G 2",,,,,"Brand, Inka","Brand, Markus","Hebrock, Andrea",,,,,,,,,,,"Komm, wir kaufen ein!",,,,,,,,,"Ravensburg",,,,"Ravensburger Spieleverlag",,,,"[2016]","© 2016","1 Spiel (1 Einkaufswagen, 20 Lebensmittel-Chips, 5 Regalkarten, 4 Spieltafeln, 1 Kassenkarte, 4 Münz-Chips, 1 Anleitung) ;",,,,,,,"Zuordnungsspiel",,,,,,,,,,,,,,,,,,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","700368","II G 21 III G 212",,,,,"Zur Linde, Ralf","Sentker, Wolfgang","Jung, Alexander",,,,,,,,,,,"Animals on board",,,,,,,,,"Friedberg",,,,"Pegasus Spiele",,,,"[2016]","© 2016","1 Spiel (20 Futterkisten, 4 Archen, 4 Pausenflaggen, 1 Startspielerflagge, 60 Tierplättchen, 1 Anleitung) ;",,,,,,,"Strategiespiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Rot Spiele Animals",,,,,,,,
"Stadtbibliothek Chemnitz","700375","I G 2",,,,,"Fritsche, Arpad","Akelaitis, Gediminas",,,,,,,,,,,,"Bauboom",,,,,,,,,"Dietzenbach",,,,"Amigo",,,,"[2016]",,"1 Spiel (72 Bausteine in vier Farben, 2 Würfel, 1 Spielplan, 4 Schubkarren in vier Farben, 1 Vorratscontainer, 4 Ameisenhügel, 1 Schneinstieg-Anleitung, 1 Anleitung) ;",,,,,,,"Sammelspiel",,,,,,,,,,,,,,,,"Brettspiel",,,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","700365","II G 21",,,,,"Dorra, Stefan","Margielsky, Marc",,,,,,,,,,,,"Alles im Eimer",,,,,,,,,"Stuttgart",,,,"Kosmos",,,,"[2016]","© 2016","1 Spiel (80 Tierkarten, 60 Kunststoffeimer, 1 Anleitung) ;",,,,,,,"Geschicklichkeitsspiel",,,,,,,,,,,,,,,,,,,,"Rot Spiele Alles",,,,,,,,
"Stadtbibliothek Chemnitz","709179","I F 2 I G 2",,,,,"Teubner, Marco","Glumpler, Heinrich","Marckwort, Ulf",,,,,,,,,,,"Wir spielen Schule",,,,,,,,,"Ravensburg",,,,"Ravensburger",,,,"[2016]","© 2016","1 Spiel (1 zweiteiliger Spielplan, 4 Medaillen-Chips, 24 Abdeckplättchen, 4 Spielfiguren mit Aufstellfuß, 6 Buchstabentafeln, 1 Anleitung) ;",,,"tiptoi macht wissen lebendig",,,,"Lernpiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","709171","I G 2",,,,,"Reinl, Martin",,,,,,,,,,,,,"Jan & Henry",,,,,,,,,"Günzburg",,,,"HUCH & freinds",,,,"[2016]","© 2016","1 Spiel (48 Memo-Kärtchen, 1 Anleitung) ;",,,,,,,"Memospiel",,,,,,,,,,,,,,,,,"Brettspiel",,,"Sport Spiele",,,,,,,,
"Stadtbibliothek Chemnitz","706319","I 148.3",,,,,,,,,,,,,,,,,,"Deutschlernen mit Bildern: Zu Hause",,,,,,,,,"Mülheim an der Ruhr",,,,"Verlag an der Ruhr",,,,"[2016]",,"1 Spiel (64 Karten) ;",,,"Deutschlernen mit Bildern",,,,"mit Anwendungstipps und Download im Faltkarton",,"9783834631527","3834631523",,,,,,,,,,,,,"Fremdsprache","Vokabellernen","Araber",,"I 148.3 Deu",,,,,,,,
