"name","bggName","id"
"Sprachmemo Deutsch/Sprachmemo Deutsch: Natur und Tiere","UNKNOWN","-1"
"Sprachmemo Deutsch/Sprachmemo Deutsch: Farben/Formen/Strukturen","UNKNOWN","-1"
"Sprachmemo Deutsch/Sprachmemo Deutsch: Werkzeuge und Haushalt","UNKNOWN","-1"
"Sprachmemo Deutsch/Sprachmemo Deutsch: Zählen/Messen/Wiegen","UNKNOWN","-1"
"Star Wars - Allianz der Rebellen","Star Wars: Allianz der Rebellen","197407"
"Das@ verdrehte Labyrinth","Das verdrehte Labyrinth","195073"
"Gespensterjagd","Gespensterjagd","1533"
"Burg Flatterstein","Burg Flatterstein","191065"
"Komm, wir kaufen ein!","Komm, wir kaufen ein","194948"
"Animals on board","Animals on Board","191572"
"Bauboom","BauBoom","191205"
"Alles im Eimer","Alles im Eimer","3141"
"Wir spielen Schule","UNKNOWN","-1"
"Jan & Henry","Jan & Henry: Das Geräuschespiel","191897"
"Deutschlernen mit Bildern: Zu Hause","UNKNOWN","-1"
"Deutschlernen mit Bildern: Im Kindergarten","UNKNOWN","-1"
"Deutschlernen mit Bildern: Lebensmittel","UNKNOWN","-1"
"Legends","Legends","193121"
"Memory das Brettspiel - Die Entdecker","UNKNOWN","-1"
"Langenscheidt Memo-Spiel "Wie heißt das?"","UNKNOWN","-1"
"Deutschlernen mit Bildern: Kleidung und Körper","UNKNOWN","-1"
"Risiko - Game of Thrones Gefecht-Edition","UNKNOWN","-1"
"Die Welt","Die 7 Weltwunder Quiz-Spiel","110457"
"Bibi & Tina","Bibi & Tina: Das große Rennen","224980"
"T.I.M.E Stories","T.I.M.E Stories","146508"
"Hinterher ist man immer schlauer","Hinterher ist man immer schlauer","186750"
"Brain Master","Brain Master","2392"
"Black stories - Scary Music Edition","UNKNOWN","-1"
"Fußball","Fußball","8789"
"Crossing","Crossing","172971"
"Krazy Wordz","Krazy Wordz","195372"
"Imhotep","Imhotep","36919"
"Interpol ermittelt","UNKNOWN","-1"
"Interpol ermittelt","UNKNOWN","-1"
"Interpol ermittelt","UNKNOWN","-1"
"Hanni Honigbiene","Hanni Honigbiene","200871"
"Keksäää!","Keksäää!","179794"
"Black stories - 13","Black Stories 13","211788"
"Neon unnützes Quizzen","UNKNOWN","-1"
"Neon unnützes Quizzen","UNKNOWN","-1"
"Sprachmemo - Schule, Arbeit, Freizeit","UNKNOWN","-1"
"Sprachmemo - Einkaufen, Essen, Trinken","UNKNOWN","-1"
"Sprachmemo - Der Mensch","UNKNOWN","-1"
"Sprachmemo - Durch das Jahr","UNKNOWN","-1"
"Sprachmemo - Unterwegs","UNKNOWN","-1"
"Sprachmemo - Zu Hause","UNKNOWN","-1"
"Das Sachsen-Quiz","UNKNOWN","-1"
"Lotto","Lotto","11028"
"Die kleine Raupe Nimmersatt","Die kleine Raupe Nimmersatt (Das Spiel)","29653"
"Wortschätzchen","UNKNOWN","-1"
"Deutschlernen mit Bildern: In der Stadt","UNKNOWN","-1"
"Shelby's Knochen mopsen","UNKNOWN","-1"
"Monopoly Vogtland","UNKNOWN","-1"
"Gigi Gnomo","Gigi Gnomo","191893"
"Halli Galli extrem","Halli Galli Extreme","15311"
"Wer kennt Chemnitz","UNKNOWN","-1"
"Rüben Rallye","Rüben Rallye","194028"
"Carcassonne - Star Wars Edition Erweiterung 1","UNKNOWN","-1"
"Neon unnützes Quizzen","UNKNOWN","-1"
"Interpol ermittelt","UNKNOWN","-1"
"Deutschland entdecken","Mauseschlau & Bärenstark: Deutschland entdecken","136461"
"Blütenzauber","UNKNOWN","-1"
"Auf, auf, kleiner Pinguin!","Auf, auf, kleiner Pinguin!","209893"
"Stone Age Junior","Stone Age Junior","191004"
"Erzählen Sie doch mal!","UNKNOWN","-1"
"Papperlapapp","Papperlapapp","8194"
"Haustiere","Haustiere","133425"
"Raptor","Raptor","133450"
"Kim Koala","Kimi Koala","140960"
"Ed, the Cat","Ed, the Cat: Wer fährt seine Krallen aus?","208151"
"Kullerhexe","Kullerhexe","206938"
"Länder toppen!","Länder toppen!","209450"
"Drachenturm","Drachenturm","209222"
"Ich glaub mein Schwein pfeift","Ich glaub, mein Schwein pfeift","209285"
"Zauberei hoch drei","Zauberei hoch drei","202296"
"Leo muss zum Friseur","Leo muss zum Friseur","191538"
"Dschungel Bande","UNKNOWN","-1"
"Interpol ermittelt","UNKNOWN","-1"
"Mein zweisprachiges Aufdeckspiel, Obst und Gemüse, Deutsch-Kurdisch","UNKNOWN","-1"
"Hamsterbande","Hamsterbande","209284"
"Das Angel-Quiz-Spiel","UNKNOWN","-1"
"Black stories","Black Stories","18803"
"Star Wars - Ligretto","Star Wars Rebels Ligretto","943"
"Captain Black","Captain Black","183528"
"1, 2, Puzzelei - Fahrzeuge","UNKNOWN","-1"
"3 sind eine zu viel!","3 sind eine zu viel!","181867"
"8-28","8-28","181616"
"Ausgefuchste Meisterdiebe","Ausgefuchste Meisterdiebe","172358"
"Arschkarte","UNKNOWN","-1"
"Architecto","ArchitecTown","160449"
"Black stories","Black Stories","18803"
"Quick Buzz","UNKNOWN","-1"
"Tangramino","UNKNOWN","-1"
"MiMiQ®","MimiQ","133687"
"Smart Cookies","UNKNOWN","-1"
"Star Wars Ubongo","Ubongo: Star Wars – Das Erwachen der Macht","180595"
"Kleiner Garten","Kleiner Garten","183346"
"Spookies","Spookies","183264"
"Die Siedler von Catan Junior","Die Siedler von Catan: Junior","27766"
"Mein magisches Wettlaufspiel","Disney Die Eiskönigin Mein magisches Wettlaufspiel","220442"
"Der Herr der Ringe","Der Herr der Ringe","823"
"Ali Baba Memo","UNKNOWN","-1"
"Mein erstes Bohnanza","Mein erstes Bohnanza","171419"
"Mount Pingo","Mount Pingo","171540"
"Elfer raus!","Elfer raus!","2086"
"Casa Banana","UNKNOWN","-1"
"Der silberne Stern","UNKNOWN","-1"
"Rauf und Runter","Rauf und Runter","183524"
"Animal Trip","Triple Flips 3: Wild Animals","19043"
"Crokinole","Crokinole","521"
"Der kleine Drache Kokosnuss - Rettet das Feuergras!","UNKNOWN","-1"
"Rumms","Rumms","137330"
"Lumis","Lumis: Der Pfad des Feuers","172166"
"Imita","Imita","68885"
"Mein erstes ABC","UNKNOWN","-1"
"Quick Buzz Das Vokabelduell","UNKNOWN","-1"
"Schatzsuche in der Buchstaben-Burg","UNKNOWN","-1"
"Seventh Hero","Seventh Hero","135116"
"Titus Tentakel","Titus Tentakel","179537"
"Harry Hopper","Harry Hopper","172550"
"Abenteuerland","Abenteuerland","183231"
"Labyrinth","Labyrinth","1219"
"Gipfelstürmer","Gipfelstürmer","181959"
"Labyrinth Junior","Junior Labyrinth","1218"
