name,yearPublished,minAge,minPlayers,maxPlayers,rating,weight
Catan,1995,10,3,4,7.27654,2.3623
10 Tage durch Deutschland,2012,8,2,4,6.102,1.5
6 nimmt!,1994,8,2,10,6.89137,1.2272
7 Steps,2014,10,2,4,6.27977,1.8182
Linko!,2014,10,2,5,7.10266,1.4011
The Abyss,2005,10,2,10,0,0
Acquire,1964,12,3,6,7.3591,2.5109
20 Jahre Activity,2009,12,4,16,5,1
Activity kompakt,1992,12,3,16,6.27632,1.3333
Double Agent,2005,9,2,2,5.84778,1.75
Alchemist,2007,10,2,5,6.2685,2.2348
Alhambra,2003,8,2,6,7.04332,2.1185
Anno Domini: Erfindungen,1999,10,2,8,6.87733,1.5135
Anno Domini: Flopps,2001,10,2,8,6.96726,1.4231
Anti-Monopoly,1973,8,2,6,3.65285,1.64
Arcana,2009,13,2,4,6.18615,2.0571
Arche Noah,2013,8,2,5,5.78148,1
Arkham Horror,1987,12,1,8,6.56966,2.3111
Arkwright,2014,12,2,4,7.90567,4.4914
Age of Steam Expansion: Atlantis & Trisland,2010,10,3,6,7.1939,4
Auf Achse,1987,8,2,6,6.2695,1.9528
Sail to India,2013,14,3,4,6.82778,2.2016
Ausgerechnet Buxtehude,2005,10,2,6,6.50726,1.4211
Bam!: Das unanständig gute Wortspiel,2013,16,4,10,5.42941,1
Bam!: Extrahart,2015,18,3,6,6.895,1
Bang Box,1969,6,2,4,5.175,0
Bauer sucht Frau: Das Brettspiel,2008,12,2,6,3.5,0
Bezzerwizzer,2007,14,2,4,6.40622,1.6628
The Big Bang Theory: Das geniale Spiel,2014,10,2,4,6.5,0
Black Stories 1+2,2010,12,2,15,4,0
Black Stories: Shit Happens Edition,2013,12,2,15,6.575,1
Blizz Quizz,2014,10,2,4,6,0
Blöder Sack,2014,8,2,4,6.07368,1
Blokus,2000,5,2,4,6.94787,1.7964
Blood Bound,2013,14,6,12,6.74142,1.7
Arkansas Bluff,1975,12,3,6,5.74,1
Bohnanza,1997,13,2,7,7.07054,1.6778
Bora Bora,2013,12,2,4,7.61263,3.7443
Bremen Eins Das Bremerhaven Spiel,0,9,2,6,0,0
Broom Service,2015,10,2,5,7.29922,2.4027
Bruges,2013,10,2,4,7.50027,2.75
Bushido,2011,0,2,2,8.33077,3
Café International,1989,10,2,4,6.27631,1.6596
Camel Up,2014,8,2,8,7.11596,1.4991
Canopy Walk,2014,14,2,2,5.68769,1.6667
PitchCar,1995,6,2,8,7.2488,1.1289
Carcassonne,2000,8,2,5,7.43561,1.9411
Carcassonne: Over Hill and Dale,2015,7,2,5,7.4015,2.1667
Carnac,2011,8,2,2,7.12031,2.3333
1960: The Making of the President,2007,12,2,2,7.56485,3.1977
Cartagena,2000,8,2,5,6.7075,1.6162
Cut and Run,1988,12,3,6,5.30909,1.5556
Charioteer: Racing at the Famous Circus Maximus,2011,0,1,4,6.25,2
City of Horror,2012,13,3,6,6.77111,2.4048
Ciúb,2014,10,2,4,6.19125,1.9355
Clue,1949,8,3,6,5.63117,1.678
Colt Express,2014,10,2,6,7.25315,1.8048
Concept,2013,10,4,12,6.99455,1.4729
Concordia,2013,13,2,5,7.96099,3.1546
The Best of Cranium For Outrageous Fun,2013,16,4,8,5.1,0
Crowns,2010,8,2,2,6.8,3
Das magische Labyrinth,1990,7,2,2,6,0
Nero,2002,12,3,4,3.66641,2.3462
Das Weinspiel,2011,14,2,6,0,0
Deal or No Deal,2006,8,2,6,3.77835,1.8333
The Enchanted Tower,2012,5,2,4,6.8846,1.1875
Ramses II,1997,7,2,5,5.80467,1.3704
Deukalion,2008,10,2,4,6.00543,2.1818
The Castle of the Devil,2010,10,4,8,6.50107,1.969
Desperados of Dice Town,2014,8,2,4,6.19518,1.3667
Die Brücke am Rio D'Oro,2011,8,2,4,5.63769,1.4286
Die drei !!!: Geheimnis der alten Villa,2016,8,2,4,7,0
The Werewolves of Miller's Hollow: The Village,2009,8,8,18,6.99997,1.7419
Dungeoneer: Tomb of the Lich Lord,2003,12,2,4,6.11193,2.181
Die Kette von Saba,1984,8,3,7,5.38194,1.5
Legends of Andor,2012,14,2,4,7.33354,2.7489
Legends of Andor: Journey to the North,2014,10,2,4,8.2109,2.9
The Palaces of Carrara,2012,10,2,4,7.26158,2.6075
Catan Geographies: Settlers of Hesse,2007,0,2,4,6.92758,2.2857
Catan Geographies: Germany,2008,10,3,4,6.91867,2.3774
The 7 Dwarfs,1996,3,2,4,0,0
3 Dimensional Chess,1979,8,2,2,5,0
Dino Detektive,2008,0,2,4,6.24,1.75
Discoveries,2015,14,2,4,7.23943,2.3723
Divinare,2012,13,2,4,6.75943,1.7677
Dixit,2008,6,3,6,7.36871,1.2668
Spot it!,2009,7,2,8,6.7533,1.0376
Dominion: Guilds,2013,13,2,4,7.97841,2.5408
Dominion: Die Intrige – Erweiterung,2014,0,0,0,7.6369,2.5
Dominion: Adventures,2015,14,2,4,8.26895,2.8431
Drachenhort,2015,8,2,7,6.78193,1.5714
Drecksau,2012,7,2,4,5.97658,1.0652
Dungeon Twister,2004,11,2,2,6.85717,2.8795
El Grande Big Box,2015,12,2,5,8.38572,2.7917
Elfenland,1998,10,2,6,6.7534,2.1649
Eye Know,2007,14,2,8,6.02295,2
Five Crowns,1996,8,2,7,5.84528,1.2784
Five Tribes,2014,13,2,4,7.83836,2.8935
Flash 10,2013,8,2,5,6.3,1
Focus,1963,10,2,4,6.46091,2.4265
21 Freeze Out,1986,8,2,6,6.2,2
Fightin' Fungi,2015,12,2,8,7.75,0
A Game of Thrones (first edition),2003,12,3,5,7.30069,3.4457
Gänsemarsch,1991,6,2,4,0,0
Gehirn-Jogging,2009,50,1,6,0,0
Coal Baron,2013,10,2,4,7.33017,2.5654
Graffiti,2007,12,3,8,6.44401,1.1538
Grill Party,2012,10,2,5,5.60333,1.5
Grog Island,2014,10,2,4,6.61494,2.2093
Guildhall,2012,10,2,4,7.03937,2.0588
Guinness Book of World Records Game,1980,8,2,4,4.51,1
Chinese Checkers,1893,7,2,6,5.09821,1.6214
Hanabi,2010,8,2,5,7.23019,1.6941
Hands Up,2002,6,2,8,5.97682,1.0909
Aloha: The Spirit of Hawaii,2012,10,2,4,6.35,2.75
Heads of State,2008,12,2,5,6.152,2.9398
Pickomino,2005,8,2,7,6.53485,1.1531
Heimlich & Co.,1984,8,2,7,6.44079,1.5018
Helios,1938,10,2,2,8,0
Hensslers Küchenrallye,2014,14,2,8,5,0
Lord of the Rings: The Duel,2002,10,2,2,5.9258,1.7059
Filly Witchy: Hexentanz in Zimsala,2013,4,2,4,0,0
Der Hobbit: Eine unerwartete Reise – Das Spiel zum Film,2012,10,2,4,5.70737,1.8
Hochstapler,2009,8,3,7,5.47576,1.3077
57th PANZER KORPS: The Strong Right Hook,0,0,1,2,6.1,2
Dyrenes hotel,0,5,0,0,5.5,0
Hugo,1993,5,2,4,3.375,1
Dominion: Intrigue,2009,13,2,4,7.80212,2.4457
Istanbul,2014,10,2,5,7.63032,2.6191
Angry Birds: Star Wars – Jenga Bespin Battle Game,2013,8,1,2,1,0
