"name","bggName","id"
"Auf die Plätze ... ... Unser Chemnitz Spiel","UNKNOWN","-1"
"Bezzerwizzer - Leichtes Spiel für Cleverquizzer","UNKNOWN","-1"
"Blokus - Super einfach, einfach spannend","UNKNOWN","-1"
"Carcassonne","Carcassonne","822"
"Cluedo - Entdecken Sie die Geheimnisse","Cluedo: Entdecken Sie die Geheimnisse!","37589"
"Cranium","Cranium","891"
"Das magische Labyrinth","Das magische Labyrinth","46701"
"Deal or no Deal","Deal or No Deal","23499"
"Der Palast von Alhambra","Der Palast von Alhambra","6249"
"Deukalion  -  Die  spannenden  Fahrten  der  griechischen Helden","Deukalion: Die spannenden Fahrten der griechischen Helden","34255"
"Die Drei ???","Cluedo: Die drei ???","141544"
"Die Legenden von Andor","Die Legenden von Andor","127398"
"Die Siedler von Catan - Deutschland Edition","Die Siedler von Catan: Deutschland-Edition","38749"
"Die Siedler von Catan - Das Spiel","Die Siedler von Catan: Das Buch zum Spielen","1137"
"Geschlechter  Kampf  -  Das  Partyspiel  für  Mann und Frau","UNKNOWN","-1"
"Graffiti - Alle Malen, Einer Rät","UNKNOWN","-1"
"Hotel  -  THE  GAME  OF  HIGH  RISES AND  HIGH STAKES!","UNKNOWN","-1"
"Intrige","Intrige","265"
"Jenga - Klotzen bis der Turm wackelt!","UNKNOWN","-1"
"Jenseits von Theben","Jenseits von Theben","13883"
"Keltis - Der Weg der Steine","Keltis: Der Weg der Steine","34585"
"Loch Ness","Loch Ness","77076"
"Mah-Jongg","American Mah Jongg","106560"
"Mensch ärgere dich nicht","Flipper Mensch ärgere Dich nicht","2136"
"Metropolys","Metropolys","25568"
"Monopoly - Das berühmte Gesellschaftsspiel","Monopoly: Das berühmte Gesellschaftsspiel","1406"
"Monopoly - World","Monopoly Here & Now World Edition","191133"
"Niagara -","Niagara","13308"
"Patrizier","Patrizier","30241"
"Pecunia Non Olet - Geld stinkt nicht","Pecunia non olet: Geld stinkt nicht","20082"
"Pictureka - Die atemlose Bildersuche","Pictureka!: Die atemlose Bildersuche!","22889"
"Professor Pünschge","Professor Pünschge","39020"
"Quelf","Quelf","19370"
"Quips - Welche Farbsteine passen zu deinem Bild","UNKNOWN","-1"
"Quirkle","UNKNOWN","-1"
"Risiko - Das große Strategiespiel","UNKNOWN","-1"
"Schach","3er Schach","22367"
"Sitting Ducks Deluxe","Sitting Ducks Deluxe","59161"
"Spiel  des  Lebens  (Star-Edition)","Spiel des Lebens: Star-Edition","149553"
"Karriereleiter und werde ein Star","UNKNOWN","-1"
"Thurn und Taxis","Thurn und Taxis","21790"
"Topwords","Topwords","1515"
"Trans America - Eine Spur schneller","UNKNOWN","-1"
"Trivial Pursuit - Deluxe","Trivial Pursuit Deluxe","33624"
"Ubongo - verrückt und verlegt","UNKNOWN","-1"
"Venice Connection","Venice Connection","1910"
"Villa Paletti","Villa Paletti","2596"
"Village","Village","104006"
"Zooloretto","Zooloretto","27588"
"Zooloretto Aquaretto","UNKNOWN","-1"
"Zug um Zug","Zug um Zug","32221"
"6 nimmt - kein Spiel für Hornochsen","UNKNOWN","-1"
"Activity - Kompakt","Activity kompakt","56410"
"Bohnanza - Ich glaub`es hackt!","UNKNOWN","-1"
"Dixit","Dixit","39856"
"Dominion - Was für eine Welt","UNKNOWN","-1"
"Dominion - Alchemisten","Dominion: Alchemisten & Reiche Ernte – Mixbox","172592"
"Dominion - Blütezeit","Dominion: Blütezeit","66690"
"Dominion - Die Intrige","Dominion: Die Intrige","40834"
"Dominion - Seaside","Dominion: Seaside","51811"
"Jetzt  schlägt`s  13  -  Das  gefährlich  gute  Karten-spiel","UNKNOWN","-1"
"Munchkin  - Töte  die  Monster  - klau  den  Schatz - erstich deine Kumpel","UNKNOWN","-1"
"Rommee","Rommee","15878"
"Skat","Skat","6819"
"Tabu","Tabu","7106"
"Uno Extreme","Uno Extreme","2818"
"Uno","UNO","2223"
"Mikado","Mikado","2065"
"Kniffel","Kniffel","2243"
