"name","bggName","id"
"6 nimmt!","6 nimmt!","432"
"7 Wonders","7 Wonders","68448"
"Abenteuer Menschheit","Abenteuer Menschheit","4394"
"Abluxxen","Abluxxen","153065"
"Adel Verpflichtet","Adel Verpflichtet","120"
"Agricola","Agricola","31260"
"Amerigo","Amerigo","38924"
"Angry Birds: Kartenspiel","Angry Birds: Kartenspiel","101737"
"Auf den Spuren von Marco Polo","Auf den Spuren von Marco Polo","9139"
"Auf nach Indien!","Auf nach Indien!","141736"
"Bankraub","Bankraub","133421"
"Beasty Bar","Beasty Bar","165950"
"Black Fleet","Black Fleet","157403"
"Blue Moon","Blue Moon","9446"
"Bohnanza","Bohnanza","11"
"Bohnanza Erweiterungs-Set","Bohnanza Erweiterungs-Set","467"
"Bohnanza: La Isla Bohnita","Bohnanza: La Isla Bohnita","453"
"Boss Monster: Baue deinen Dungeon!","Boss Monster: Baue deinen Dungeon!","131835"
"Broom Service","Broom Service","172308"
"Cacao","Cacao","171499"
"Cacao: Chocolatl","Cacao: Chocolatl","191540"
"Camel Up","Camel Up","153938"
"Camel Up: Supercup","Camel Up: Supercup","172380"
"Carcassonne","Carcassonne","822"
"Carcassonne: 1. Erweiterung – Wirtshäuser und Kathedralen","Carcassonne: 1. Erweiterung – Wirtshäuser und Kathedralen","2993"
"Carcassonne: 2. Erweiterung – Händler und Baumeister","Carcassonne: 2. Erweiterung – Händler und Baumeister","5405"
"Carcassonne: 3. Erweiterung – Burgfräulein und Drache","Carcassonne: 3. Erweiterung – Burgfräulein und Drache","15158"
"Carcassonne: 4. Erweiterung – Der Turm","Carcassonne: 4. Erweiterung – Der Turm","21385"
"Carcassonne: 5. Erweiterung – Abtei und Bürgermeister","Carcassonne: 5. Erweiterung – Abtei und Bürgermeister","31784"
"Carcassonne: 8. Erweiterung – Brücken, Burgen und Basare","Carcassonne: 8. Erweiterung – Brücken, Burgen und Basare","66646"
"Catan: Händler & Barbaren","Catan: Händler & Barbaren","27760"
"Caylus","Caylus","18602"
"Codenames","Codenames","178900"
"Colt Express","Colt Express","158899"
"Crazy Coconuts","Crazy Coconuts","145639"
"Cuba","Cuba","30380"
"Danger","Danger","1377"
"Das Grimoire des Wahnsinns","Das Grimoire des Wahnsinns","171233"
"Das Vermächtnis: Stammbaum der Macht","Das Vermächtnis: Stammbaum der Macht","52461"
"Das Ältere Zeichen","Das Ältere Zeichen","100423"
"Der HeidelBÄR","Der HeidelBÄR","53723"
"Der HeidelBÄR: Wald und Wiesen Edition","Der HeidelBÄR: Wald und Wiesen Edition","137596"
"Der HeidelBÄR: Wilde Wasser Edition","Der HeidelBÄR: Wilde Wasser Edition","136819"
"Der Hobbit: Das Kartenspiel","Der Hobbit: Das Kartenspiel","126444"
"Der Hobbit: Eine unerwartete Reise – Das Spiel zum Film","Der Hobbit: Eine unerwartete Reise – Das Spiel zum Film","127436"
"Der Palast von Alhambra","Der Palast von Alhambra","6249"
"Der Palast von Alhambra: Die Gunst des Wesirs – Die 1. Erweiterung","Der Palast von Alhambra: Die Gunst des Wesirs – Die 1. Erweiterung","9687"
"Der Palast von Alhambra: Die Schatzkammer des Kalifen – Die 4. Erweiterung","Der Palast von Alhambra: Die Schatzkammer des Kalifen – Die 4. Erweiterung","22279"
"Der Palast von Alhambra: Die Stunde der Diebe – Die 3. Erweiterung","Der Palast von Alhambra: Die Stunde der Diebe – Die 3. Erweiterung","16494"
"Der Palast von Alhambra: Die Tore der Stadt – Die 2. Erweiterung","Der Palast von Alhambra: Die Tore der Stadt – Die 2. Erweiterung","13287"
"Descent: Die Reise ins Dunkel (Zweite Edition)","Descent: Die Reise ins Dunkel (Zweite Edition)","104162"
"Descent: Die Reise ins Dunkel (Zweite Edition)  – Vergessene Seelen","Descent: Die Reise ins Dunkel (Zweite Edition)  – Vergessene Seelen","153235"
"Descent: Die Reise ins Dunkel (Zweite Edition) –  Der Zorn der Natur","Descent: Die Reise ins Dunkel (Zweite Edition) –  Der Zorn der Natur","170959"
"Descent: Die Reise ins Dunkel (Zweite Edition) – Die Höhle des Lindwurms","Descent: Die Reise ins Dunkel (Zweite Edition) – Die Höhle des Lindwurms","129423"
"Descent: Die Reise ins Dunkel (Zweite Edition) – Die Trollsümpfe","Descent: Die Reise ins Dunkel (Zweite Edition) – Die Trollsümpfe","143827"
"Descent: Die Reise ins Dunkel (Zweite Edition) – Labyrinth des Verderbens","Descent: Die Reise ins Dunkel (Zweite Edition) – Labyrinth des Verderbens","137842"
"Descent: Die Reise ins Dunkel (Zweite Edition) – Schatten von Nerekhall","Descent: Die Reise ins Dunkel (Zweite Edition) – Schatten von Nerekhall","149915"
"Descent: Die Reise ins Dunkel (Zweite Edition) – Schloss Rabenfels","Descent: Die Reise ins Dunkel (Zweite Edition) – Schloss Rabenfels","156879"
"Die Alchemisten","Die Alchemisten","161970"
"Die Baumeister: Mittelalter","Die Baumeister: Mittelalter","144553"
"Die Fürsten von Catan","Die Fürsten von Catan","66056"
"Die Fürsten von Catan: Finstere Zeiten","Die Fürsten von Catan: Finstere Zeiten","93401"
